Date,Query,Impressions,Clicks,Conversions,Spend,Revenue
2025-09-02,best travel card,967,558,79,1245.26,9592.61
2024-09-19,airport lounge access card,8887,838,34,2011.23,4900.02
2024-05-23,small business credit card,5864,1641,156,2000.14,446.24
2024-12-11,student credit card,493,1665,107,1091.64,9478.36
2025-09-15,best cashback credit card,3854,1470,49,2047.94,10825.0
2025-07-25,student credit card,4470,21,192,3186.97,12583.6
2024-01-02,student credit card,4621,1155,199,177.37,16578.86
2024-10-30,student credit card,7799,1580,191,4946.66,5210.24
2024-09-10,credit card for startups,4678,498,62,1514.92,1408.51
2025-10-13,student credit card,8505,1284,42,3137.04,1978.73
2025-03-28,airport lounge access card,2226,588,24,1453.57,10048.71
2024-02-06,travel rewards card,8430,1515,163,1998.0,18460.28
2024-06-08,premium credit card,4293,1583,183,2768.73,19647.77
2024-01-09,best travel card,4060,1313,177,3078.67,4260.02
2024-08-20,airport lounge access card,763,751,77,3863.77,3208.95
2024-04-08,best travel card,2932,1370,95,3968.83,7198.74
2025-10-20,premium credit card,9365,177,187,2617.58,9385.02
2024-07-26,travel rewards card,4674,970,83,424.84,16199.69
2024-05-10,best rewards card,6471,1986,93,2811.03,15537.22
2025-02-07,best travel card,7724,1361,22,2414.02,18468.79
2024-05-31,best travel card,6392,1279,105,1116.16,17190.39
2024-02-23,travel rewards card,5277,1624,85,100.31,8888.09
2024-04-29,best cashback credit card,8453,1659,61,1614.03,576.65
2025-11-03,airport lounge access card,7106,1334,158,1334.47,4884.47
2025-09-19,best cashback credit card,9792,1762,69,2440.41,12279.08
2025-08-09,best cashback credit card,3278,209,188,3819.93,10129.59
2025-09-16,best cashback credit card,5646,1926,6,2223.25,4955.17
2025-02-23,student credit card,4590,1533,85,4760.26,2805.66
2025-02-25,small business credit card,4996,873,114,1145.5,4477.04
2024-04-13,best travel card,285,763,139,1143.71,5342.95
2024-09-10,best cashback credit card,4753,1046,24,3042.03,17372.36
2024-08-14,airport lounge access card,2080,1399,79,4486.5,14263.19
2024-04-21,small business credit card,4641,1752,110,3375.69,11136.18
2025-05-24,small business credit card,7908,783,104,3384.71,614.63
2025-04-17,best cashback credit card,929,106,51,4041.12,16459.69
2024-04-08,credit card for startups,3619,80,19,3359.96,11138.78
2024-06-01,best cashback credit card,8108,1002,178,3808.77,12621.34
2024-12-03,credit card for startups,6009,1848,131,4337.33,1499.8
2025-12-06,best cashback credit card,1325,1894,131,89.16,16334.03
2024-06-11,airport lounge access card,5874,1775,128,4433.83,16674.16
2025-12-20,credit card for startups,2944,366,92,1115.56,17690.17
2025-11-11,student credit card,7447,821,31,4564.92,10656.17
2024-06-09,small business credit card,2833,553,106,1367.61,8002.08
2025-08-02,best cashback credit card,4520,1283,124,2303.43,1646.32
2025-02-01,small business credit card,4096,263,113,4672.72,4038.92
2024-10-03,best cashback credit card,9790,1804,175,593.25,4666.26
2025-05-18,best travel card,1788,1215,136,3739.15,1441.26
2025-01-26,best travel card,2547,1885,17,1992.62,3256.63
2024-05-14,business credit card,967,997,99,169.3,17758.71
2024-07-13,best cashback credit card,7052,1199,100,4698.71,10998.97
2025-02-04,business credit card,6184,13,104,633.25,15336.93
2025-10-01,travel rewards card,8531,1496,45,3882.0,5645.47
2024-02-02,travel rewards card,5405,154,97,1952.14,2865.04
2025-11-18,small business credit card,8339,174,60,4062.39,7590.43
2025-04-04,credit card for startups,4149,353,114,3763.92,15901.11
2025-04-14,best cashback credit card,3557,1907,21,3184.43,6087.16
2025-01-09,premium credit card,3328,1138,198,4699.15,4249.79
2024-01-22,best cashback credit card,1348,1581,112,539.67,643.46
2025-10-31,best cashback credit card,1267,1347,149,4002.97,12555.42
2024-02-07,premium credit card,3590,1202,125,3370.39,8829.27
2024-08-17,travel rewards card,1997,529,186,1607.87,5323.38
2024-12-30,business credit card,2279,1996,183,2752.56,10491.13
2025-07-16,small business credit card,6055,935,28,3240.91,14072.36
2025-03-13,travel rewards card,2820,1631,81,3694.54,5099.84
2024-10-09,premium credit card,2043,1469,82,975.95,12253.66
2024-01-27,best cashback credit card,6012,618,46,555.46,5351.03
2024-08-13,travel rewards card,7786,521,44,555.18,19735.89
2024-10-03,airport lounge access card,3796,418,89,1504.65,14701.33
2025-08-31,best travel card,2925,445,153,813.16,12132.63
2024-10-10,best cashback credit card,8514,1348,199,2701.43,3612.15
2025-04-25,best rewards card,1846,551,177,2213.35,11810.6
2025-03-28,premium credit card,629,622,118,4470.68,16049.03
2025-10-20,student credit card,6484,1612,174,3601.14,14794.73
2025-05-30,credit card for startups,8425,909,120,1068.77,15604.9
2025-06-30,student credit card,4586,1894,63,276.35,6492.43
2024-07-10,travel rewards card,201,1986,77,3560.32,6699.62
2024-02-18,best cashback credit card,3823,1096,88,4236.85,10869.9
2025-05-26,credit card for startups,2828,1065,140,3519.92,5717.43
2024-01-17,credit card for startups,2645,1632,78,3236.78,2437.66
2024-06-20,small business credit card,2658,1244,185,1284.11,9330.21
2024-08-07,student credit card,6946,1496,64,2498.29,238.1
2024-06-06,best cashback credit card,1048,572,159,3638.56,15263.01
2025-04-21,small business credit card,9860,584,4,1007.21,15043.8
2024-02-15,business credit card,5036,1113,182,2408.89,11127.93
2025-01-07,student credit card,2153,1031,83,629.29,15002.86
2025-06-01,best travel card,293,352,193,2677.06,12565.66
2024-04-08,best travel card,9033,1265,6,2889.01,14009.62
2024-02-06,small business credit card,7404,1911,193,2700.16,1480.19
2024-10-06,business credit card,3059,622,91,2373.85,17649.06
2024-12-14,airport lounge access card,8274,138,22,2957.9,12949.84
2025-05-11,airport lounge access card,3023,1052,145,4984.16,12290.49
2024-10-28,best travel card,3339,366,187,3131.56,7867.37
2024-06-29,best rewards card,3965,1452,29,3775.21,757.08
2025-08-29,premium credit card,8329,968,195,1001.0,18048.94
2024-04-08,premium credit card,9990,1639,145,2673.62,19716.17
2025-11-30,best rewards card,4666,90,2,87.15,16194.18
2024-04-25,small business credit card,6695,1648,32,205.72,18317.78
2024-07-09,premium credit card,5709,1914,150,1646.28,2594.96
2024-09-09,premium credit card,3313,675,103,2359.67,2747.77
2024-06-09,student credit card,5208,790,186,2899.4,17616.2
2024-09-12,student credit card,1883,1151,181,4445.62,1338.62
2024-11-18,best rewards card,8394,1887,175,3870.19,2045.43
2024-05-07,best cashback credit card,5930,1527,132,1534.89,16373.58
2024-01-18,business credit card,5931,800,166,3730.25,11228.1
2025-07-19,small business credit card,141,501,117,2769.49,7956.2
2025-07-23,student credit card,6309,1908,141,3906.95,11158.28
2024-11-18,student credit card,1161,234,61,2084.7,17599.2
2025-11-16,airport lounge access card,9968,996,64,504.87,15191.22
2025-09-17,business credit card,3789,428,77,3111.51,13893.83
2024-10-14,airport lounge access card,7695,789,33,2807.34,19542.33
2025-10-24,best cashback credit card,6907,146,98,4770.34,10521.87
2025-09-30,business credit card,4097,235,166,852.54,325.22
2024-06-03,premium credit card,425,1367,126,3297.86,8694.85
2025-05-04,airport lounge access card,7305,1262,157,2396.66,2112.12
2025-01-20,best travel card,1220,332,61,1925.67,2505.78
2024-04-13,small business credit card,207,1141,32,3983.11,5247.04
2025-01-27,premium credit card,6394,821,139,4062.72,7751.07
2024-09-02,business credit card,5293,454,18,3587.27,9735.67
2024-06-24,best travel card,7324,1950,45,463.83,3562.44
2024-02-08,best cashback credit card,8626,16,21,1758.3,6372.06
2025-04-21,best travel card,2139,137,12,281.41,5675.48
2025-11-12,student credit card,903,1386,103,1751.22,7431.9
2025-06-21,best rewards card,866,276,20,3257.19,2338.21
2025-02-11,best travel card,3627,694,7,2617.6,8067.35
2025-06-08,credit card for startups,2406,937,91,3529.54,11176.14
2025-05-20,best cashback credit card,1588,223,199,2779.74,2119.57
2024-02-05,premium credit card,4229,256,130,2801.28,10511.25
2025-11-15,airport lounge access card,2473,1651,43,2579.28,15167.07
2024-01-20,travel rewards card,9128,1628,97,1853.41,363.15
2024-11-16,best cashback credit card,3409,1837,21,2260.5,1141.06
2025-05-26,credit card for startups,6934,1407,29,606.57,9436.19
2025-02-03,student credit card,5835,430,32,4180.82,17481.0
2025-10-15,airport lounge access card,4934,1748,173,4451.6,19956.22
2025-04-15,small business credit card,7090,1074,76,3843.04,2049.2
2024-05-22,travel rewards card,4083,726,103,2938.75,563.17
2024-04-01,best travel card,3868,1381,113,2867.44,4729.64
2024-12-19,credit card for startups,1604,1594,187,2378.1,9455.91
2025-12-27,best travel card,6893,152,104,1195.17,11521.56
2024-02-20,small business credit card,2550,150,131,1949.83,19475.0
2025-10-26,best cashback credit card,2133,574,39,4950.03,17791.58
2025-11-28,best rewards card,8102,116,51,771.72,11329.55
2025-07-28,credit card for startups,9991,42,116,2736.28,7361.93
2024-07-08,business credit card,6119,1233,8,4339.3,6561.68
2024-05-04,premium credit card,1407,128,110,2292.36,11537.97
2024-05-29,business credit card,1075,1833,46,3047.77,14482.79
2024-11-09,best rewards card,5039,238,194,4147.58,9736.98
2025-07-23,small business credit card,3833,1663,6,2760.43,6227.1
2024-12-07,business credit card,8651,697,112,3670.77,12340.67
2024-10-31,student credit card,2323,1997,58,1769.0,11247.25
2025-11-22,credit card for startups,584,1218,169,3678.46,8661.89
2025-11-12,student credit card,1528,839,122,253.06,15017.44
2024-02-23,travel rewards card,2180,1020,115,806.85,5787.98
2025-03-19,best rewards card,795,859,54,3204.62,9801.52
2025-09-04,travel rewards card,6400,1248,76,2272.33,18818.72
2024-09-20,travel rewards card,4760,742,169,4150.33,14512.01
2024-02-22,travel rewards card,301,1163,48,1742.77,7881.84
2025-07-25,best cashback credit card,9490,854,70,3847.68,11014.32
2025-09-11,best cashback credit card,9559,281,155,738.61,8228.54
2024-01-05,best rewards card,8365,1791,47,4654.23,2428.45
2024-04-12,airport lounge access card,8387,644,117,2121.27,6831.76
2024-07-14,business credit card,3577,1041,23,1192.96,17236.77
2024-12-15,best cashback credit card,2302,412,142,3956.3,9331.8
2024-02-16,best travel card,7590,937,61,4742.04,11775.82
2025-10-17,student credit card,8549,1612,195,4594.5,3792.65
2024-09-25,best cashback credit card,6417,636,126,1227.8,7253.38
2025-01-04,small business credit card,4525,1402,76,3376.44,18598.26
2025-09-27,travel rewards card,5450,1833,153,2756.95,6422.06
2024-04-15,best cashback credit card,2906,626,65,3639.27,5161.11
2025-10-31,best rewards card,7263,990,96,2460.32,1306.82
2025-10-20,student credit card,285,546,152,2375.33,2125.17
2025-10-18,student credit card,8170,1086,181,4419.4,11778.83
2024-04-29,airport lounge access card,8434,256,106,4362.72,13268.65
2025-08-26,premium credit card,7150,346,178,3948.6,12903.29
2024-02-27,premium credit card,8931,1314,129,3539.23,10888.62
2024-12-11,business credit card,2174,42,39,3407.91,9921.23
2025-04-18,best travel card,7754,808,44,328.1,1628.39
2024-04-26,credit card for startups,301,557,105,3760.2,16845.77
2024-05-06,best rewards card,5810,1376,94,3208.62,10359.0
2025-01-27,small business credit card,3265,900,133,1546.94,2811.91
2025-10-02,best cashback credit card,2202,1272,123,4109.5,2889.82
2024-02-27,best rewards card,9202,1525,196,4170.61,10356.54
2025-09-25,best travel card,1671,738,124,4664.34,5042.62
2025-05-27,premium credit card,5225,1210,109,2120.87,18454.91
2024-04-05,best rewards card,6797,53,72,2778.69,10079.19
2025-09-29,best cashback credit card,5269,313,65,4534.47,19572.69
2024-04-27,airport lounge access card,2259,1703,79,1618.17,14736.34
2025-07-13,business credit card,1429,278,88,3993.38,16251.84
2025-08-23,airport lounge access card,3713,692,143,4960.23,7899.8
2025-05-02,premium credit card,8752,1766,178,3277.08,2853.61
2024-08-24,travel rewards card,9098,409,6,4919.33,13855.99
2024-09-28,premium credit card,3799,1775,66,2603.27,8260.01
2024-07-07,business credit card,6127,612,69,807.61,18987.86
2025-12-04,best cashback credit card,2373,931,115,919.2,4033.92
2025-03-22,best travel card,8350,980,167,3670.3,12604.77
2025-08-03,credit card for startups,4923,440,105,54.5,17348.01
