Campaign_ID,Campaign_Name,Products,Device,Impressions,Clicks,Conversions,Spend,Revenue
30,Gold_Prospecting_Desktop,Platinum,Tablet,18171,261,822,11273.66,89124.26
31,Platinum_Students_Desktop,Cashback,Tablet,18156,1457,496,18007.8,45934.37
32,Platinum_Students_Mobile,Platinum,Mobile,91347,1275,606,22302.43,44810.95
33,Travel_Remarketing_Mobile,Travel,Mobile,48523,9147,707,8821.73,82562.94
34,Travel_SMB_Desktop,Travel,Mobile,74082,7518,104,6061.53,69841.52
35,Travel_High Value_Mobile,Platinum,Mobile,82597,5813,715,16430.36,92306.97
36,Cashback_Students_Desktop,Platinum,Desktop,99993,5756,252,24939.38,93927.3
37,Platinum_Remarketing_Desktop,Platinum,Desktop,8955,4540,254,18372.96,32006.21
38,Business_High Value_Mobile,Cashback,Tablet,64612,8396,545,19992.75,65189.47
39,Travel_High Value_Desktop,Cashback,Tablet,22972,6524,234,15931.5,54637.15
40,Business_SMB_Desktop,Travel,Tablet,6267,1050,980,9520.49,59985.6
41,Business_Remarketing_Mobile,Gold,Tablet,91885,1019,970,16538.79,62905.67
42,Business_Remarketing_Desktop,Platinum,Desktop,96916,7261,704,3649.48,6941.9
43,Travel_Students_Desktop,Business,Mobile,48385,8162,122,12476.04,89611.52
44,Travel_Students_Desktop,Business,Tablet,25726,522,700,14539.93,14887.52
45,Gold_Remarketing_Mobile,Business,Desktop,63852,4400,209,22715.37,43018.8
46,Travel_Students_Mobile,Platinum,Desktop,30592,9061,338,23033.12,29915.82
47,Cashback_SMB_Desktop,Gold,Tablet,95211,7941,798,1973.05,55821.07
48,Travel_Remarketing_Mobile,Gold,Tablet,60226,7443,824,15981.09,96187.37
49,Gold_Remarketing_Mobile,Cashback,Desktop,62321,8213,927,20011.57,41830.04
50,Travel_Students_Desktop,Gold,Desktop,53385,7397,934,13642.99,60715.3
51,Business_SMB_Mobile,Business,Tablet,59970,4672,305,2843.92,14973.22
52,Gold_High Value_Mobile,Business,Mobile,27041,7306,652,6201.87,46838.83
53,Cashback_SMB_Desktop,Platinum,Mobile,70747,4554,442,8184.28,91662.67
54,Travel_SMB_Mobile,Cashback,Tablet,6986,1332,290,16738.59,93308.89
55,Travel_SMB_Mobile,Travel,Tablet,28635,7930,731,2106.67,55096.54
56,Business_Prospecting_Desktop,Cashback,Mobile,44194,6824,133,13965.69,77090.36
57,Travel_Students_Desktop,Travel,Desktop,88419,6386,788,3168.89,1318.55
58,Business_SMB_Mobile,Cashback,Tablet,87048,9816,103,10180.43,53619.04
59,Platinum_High Value_Mobile,Gold,Tablet,24356,8351,98,10926.13,73514.46
60,Travel_Remarketing_Desktop,Cashback,Mobile,6084,6563,212,11570.03,33656.86
61,Cashback_Prospecting_Desktop,Platinum,Tablet,11096,5093,747,17916.3,90214.43
62,Travel_Remarketing_Mobile,Travel,Desktop,57100,6407,97,2489.31,78183.15
63,Platinum_SMB_Desktop,Gold,Desktop,68596,6512,825,7071.94,77200.03
64,Platinum_Remarketing_Mobile,Gold,Tablet,64388,9179,169,16207.68,3102.13
65,Travel_Remarketing_Mobile,Cashback,Desktop,8463,5992,908,23617.36,19204.31
66,Business_High Value_Mobile,Gold,Desktop,20709,7307,950,15709.54,71647.06
67,Business_High Value_Desktop,Business,Desktop,19445,5667,610,22142.47,56610.36
68,Gold_Students_Desktop,Business,Tablet,94447,8966,131,24225.94,58267.97
69,Travel_SMB_Mobile,Business,Tablet,25735,2076,630,22155.66,2466.21
70,Platinum_High Value_Desktop,Cashback,Tablet,18290,5772,285,24319.07,44763.35
71,Gold_Remarketing_Desktop,Travel,Desktop,85706,6416,257,19537.52,78857.1
72,Travel_Students_Desktop,Cashback,Mobile,33068,8453,413,22235.33,66692.26
73,Travel_Remarketing_Mobile,Platinum,Mobile,47769,5949,828,12540.56,57670.38
74,Business_SMB_Desktop,Gold,Mobile,60044,2182,90,8963.26,69963.2
75,Cashback_Prospecting_Mobile,Business,Desktop,98324,9519,29,24992.91,85247.39
76,Gold_Prospecting_Desktop,Cashback,Mobile,81324,5382,475,2895.12,85103.57
77,Travel_SMB_Desktop,Cashback,Tablet,32553,4552,898,23975.87,46146.38
78,Cashback_Students_Desktop,Gold,Desktop,28289,9751,535,11056.42,31471.73
79,Travel_High Value_Mobile,Cashback,Mobile,5428,2221,235,1048.39,37271.45
80,Platinum_Prospecting_Mobile,Business,Desktop,32611,7054,857,20173.9,52616.48
81,Cashback_Remarketing_Mobile,Gold,Desktop,68109,4602,41,11383.31,9847.33
82,Cashback_Prospecting_Mobile,Travel,Tablet,77784,6359,721,20067.81,59508.22
83,Gold_Remarketing_Desktop,Business,Desktop,76879,1294,179,1598.0,45872.53
84,Platinum_Remarketing_Desktop,Platinum,Tablet,37018,5656,643,24366.59,76134.29
85,Travel_Remarketing_Mobile,Platinum,Tablet,95606,1708,985,16940.43,28120.21
86,Cashback_High Value_Mobile,Gold,Mobile,22088,9509,944,1675.91,7564.32
87,Gold_Remarketing_Mobile,Business,Mobile,3077,8198,943,613.85,89562.41
88,Platinum_Remarketing_Mobile,Business,Desktop,47239,1589,713,15053.04,7739.61
89,Travel_Students_Desktop,Business,Mobile,71065,1790,13,24424.23,92800.76
90,Travel_Remarketing_Mobile,Platinum,Desktop,83950,4943,236,13337.99,50251.89
91,Platinum_High Value_Desktop,Gold,Tablet,19214,3838,133,9170.41,6572.08
92,Platinum_SMB_Desktop,Platinum,Desktop,72100,8739,229,23503.69,13458.53
93,Platinum_Prospecting_Mobile,Cashback,Tablet,50935,7050,712,24606.86,53762.4
94,Cashback_Remarketing_Desktop,Travel,Tablet,91826,9503,244,19719.88,2562.93
95,Gold_Remarketing_Mobile,Platinum,Desktop,71564,4404,838,18088.91,91597.96
96,Gold_Remarketing_Mobile,Gold,Tablet,24860,9388,499,550.56,79830.25
97,Gold_High Value_Desktop,Platinum,Mobile,9781,195,855,8185.22,50950.63
98,Business_Remarketing_Mobile,Cashback,Desktop,85630,7247,910,23166.82,92698.3
99,Travel_Prospecting_Mobile,Cashback,Mobile,22881,4246,203,9519.33,26715.22
100,Business_SMB_Mobile,Cashback,Tablet,74914,7561,566,8697.2,85487.61
101,Gold_Prospecting_Desktop,Cashback,Tablet,10243,4758,315,13660.93,80707.43
102,Business_Prospecting_Mobile,Travel,Desktop,50641,1683,97,11470.77,58600.13
103,Platinum_Remarketing_Desktop,Business,Tablet,44972,8243,140,21540.55,32565.38
104,Cashback_Students_Desktop,Cashback,Mobile,76095,941,32,2501.55,56274.81
105,Business_SMB_Mobile,Travel,Desktop,71322,7848,404,16639.36,95764.67
106,Gold_High Value_Desktop,Platinum,Desktop,84665,9653,815,17581.16,9372.83
107,Platinum_Prospecting_Mobile,Cashback,Mobile,66017,5242,449,22062.76,20899.76
108,Gold_Prospecting_Desktop,Platinum,Tablet,28843,4681,940,10686.72,64745.32
109,Gold_Students_Mobile,Platinum,Tablet,95422,3863,970,7727.63,68164.16
110,Business_Students_Mobile,Gold,Desktop,74416,8378,271,15850.74,17282.6
111,Platinum_High Value_Desktop,Travel,Mobile,7258,9363,335,18260.66,80823.01
112,Business_Remarketing_Mobile,Travel,Desktop,5898,1990,689,4688.99,92919.8
113,Gold_High Value_Mobile,Cashback,Desktop,92274,6044,995,4375.01,8886.63
114,Cashback_High Value_Mobile,Cashback,Tablet,47608,4868,776,6958.28,97450.74
115,Platinum_Remarketing_Mobile,Cashback,Desktop,26169,3977,44,6573.97,28840.02
116,Travel_Students_Desktop,Travel,Mobile,36353,2596,406,18891.03,31577.1
117,Cashback_High Value_Mobile,Platinum,Mobile,91621,4713,546,13502.21,5445.08
118,Business_High Value_Mobile,Platinum,Mobile,20952,9976,735,13920.88,50243.28
119,Cashback_SMB_Mobile,Cashback,Mobile,70145,3198,602,860.2,95521.07
120,Gold_Prospecting_Mobile,Platinum,Tablet,66848,5725,983,24859.31,16937.48
121,Cashback_Prospecting_Mobile,Cashback,Tablet,53343,745,332,20829.86,58109.31
122,Cashback_Students_Desktop,Business,Tablet,78021,9099,589,11369.78,28170.74
123,Gold_Prospecting_Mobile,Platinum,Tablet,86582,4348,876,2138.61,2845.36
124,Cashback_High Value_Desktop,Travel,Mobile,99286,2646,895,17510.06,98727.34
125,Gold_High Value_Desktop,Gold,Mobile,8208,178,952,13608.63,71901.48
126,Gold_Students_Mobile,Travel,Desktop,47747,1555,832,17099.7,73810.86
127,Cashback_Prospecting_Mobile,Travel,Desktop,23516,2569,741,17100.65,66632.91
128,Cashback_Students_Desktop,Gold,Tablet,96634,3764,692,4290.99,15230.11
129,Business_High Value_Desktop,Cashback,Desktop,60392,7540,523,8555.84,21462.75
130,Platinum_Students_Mobile,Platinum,Tablet,29705,4725,54,935.12,39181.1
131,Business_High Value_Desktop,Travel,Tablet,14157,7303,697,24565.44,99551.24
132,Platinum_Prospecting_Desktop,Platinum,Tablet,65855,8089,71,20258.4,67584.84
133,Platinum_SMB_Mobile,Gold,Desktop,93584,2022,943,23255.81,44795.64
134,Travel_High Value_Desktop,Gold,Desktop,90943,5308,568,1581.2,48987.93
135,Platinum_High Value_Mobile,Platinum,Tablet,47846,5072,525,12758.5,92298.36
136,Gold_High Value_Mobile,Platinum,Mobile,18993,7927,709,18812.13,20447.07
137,Travel_SMB_Desktop,Gold,Desktop,38379,9166,760,3040.77,32766.5
138,Travel_SMB_Mobile,Cashback,Mobile,14332,1763,58,19538.63,37716.52
139,Gold_SMB_Mobile,Platinum,Tablet,14119,2504,85,16363.81,89865.29
140,Platinum_Students_Desktop,Business,Tablet,97409,7557,555,24631.4,77901.77
141,Cashback_High Value_Desktop,Business,Desktop,16205,2889,821,3951.21,59487.74
142,Travel_Students_Mobile,Platinum,Desktop,44251,1308,754,15917.29,32158.0
143,Cashback_Prospecting_Mobile,Travel,Desktop,72630,6920,871,23704.79,21018.03
144,Business_Prospecting_Mobile,Gold,Tablet,96127,7836,862,18719.9,33744.79
145,Platinum_High Value_Desktop,Cashback,Mobile,76273,8602,65,8735.63,93015.8
146,Travel_SMB_Mobile,Business,Mobile,59978,7938,997,3421.65,91112.33
147,Cashback_Prospecting_Desktop,Business,Desktop,16824,6778,307,24112.28,42773.54
148,Gold_Students_Desktop,Travel,Desktop,9223,3785,827,2261.64,33227.66
149,Business_Prospecting_Mobile,Platinum,Desktop,3632,5194,206,24391.63,88574.51
150,Travel_High Value_Mobile,Travel,Mobile,52614,2963,298,7936.04,45176.86
151,Travel_High Value_Desktop,Cashback,Desktop,7376,4074,235,21577.62,4831.28
152,Platinum_Remarketing_Mobile,Platinum,Desktop,24042,6342,233,14080.64,35228.25
153,Business_High Value_Desktop,Business,Tablet,33871,4446,868,22858.47,61122.22
154,Business_Students_Mobile,Business,Desktop,7178,395,588,10952.16,94514.45
155,Travel_Remarketing_Mobile,Gold,Tablet,99930,6602,369,21320.2,43034.62
156,Cashback_Prospecting_Mobile,Cashback,Mobile,40221,9324,563,6340.43,24772.37
157,Business_Remarketing_Mobile,Business,Desktop,97972,1988,764,11935.17,39065.3
158,Business_High Value_Mobile,Travel,Mobile,61245,7830,53,21234.41,6648.82
159,Cashback_Prospecting_Desktop,Business,Mobile,49239,9265,973,3399.86,89984.89
160,Travel_Prospecting_Mobile,Travel,Mobile,27009,4757,621,18351.54,4308.87
161,Travel_Remarketing_Desktop,Travel,Mobile,95802,6847,450,11203.36,1096.26
162,Travel_Prospecting_Mobile,Platinum,Mobile,53445,4798,45,13073.77,61799.2
163,Travel_High Value_Desktop,Platinum,Tablet,74057,9325,434,14686.28,16245.22
164,Gold_Remarketing_Desktop,Business,Tablet,13955,9525,644,7253.67,30311.55
165,Business_SMB_Mobile,Business,Mobile,82660,6203,705,2861.11,49607.42
166,Platinum_High Value_Mobile,Travel,Mobile,41673,9784,381,957.15,79419.59
167,Cashback_High Value_Desktop,Platinum,Desktop,56535,6335,524,11057.59,39363.55
168,Cashback_Prospecting_Mobile,Business,Mobile,70232,8588,379,7087.33,95753.62
169,Cashback_Remarketing_Desktop,Platinum,Tablet,83298,1612,577,16006.79,45866.48
170,Gold_SMB_Desktop,Cashback,Tablet,86135,6728,449,18040.48,92078.94
171,Platinum_SMB_Desktop,Travel,Tablet,95127,8872,970,12841.75,45780.69
172,Platinum_Students_Mobile,Platinum,Tablet,87258,8945,816,15664.55,52098.78
173,Travel_Students_Desktop,Business,Mobile,44487,1137,689,14238.28,95849.6
174,Cashback_Remarketing_Mobile,Travel,Tablet,70456,8978,304,612.16,67815.24
175,Platinum_High Value_Mobile,Gold,Tablet,18099,1703,932,21121.7,15787.85
176,Gold_Remarketing_Desktop,Travel,Tablet,14323,5128,629,1959.28,60256.8
177,Gold_Remarketing_Mobile,Cashback,Desktop,4641,6897,76,10553.34,23296.94
178,Gold_Remarketing_Mobile,Travel,Mobile,24334,8378,877,3219.95,31657.08
179,Gold_Students_Mobile,Platinum,Tablet,22253,9132,750,16726.69,83976.86
180,Cashback_Remarketing_Mobile,Platinum,Tablet,94191,7675,615,8476.9,68532.36
181,Cashback_SMB_Mobile,Business,Mobile,58413,5294,330,2243.23,29401.0
182,Travel_Students_Mobile,Business,Tablet,26949,8255,979,1611.14,1464.18
183,Cashback_Remarketing_Mobile,Travel,Tablet,72740,6198,524,6309.97,53586.95
184,Cashback_High Value_Desktop,Travel,Tablet,86245,8047,392,16847.99,25766.95
185,Gold_SMB_Mobile,Travel,Desktop,68922,6034,751,18096.43,3802.91
186,Business_Students_Desktop,Platinum,Tablet,73541,6383,140,3646.55,7264.86
187,Gold_Students_Mobile,Platinum,Tablet,23488,4326,46,3908.25,67651.77
188,Gold_Remarketing_Mobile,Gold,Mobile,36119,5121,875,15034.06,42014.16
189,Gold_Students_Desktop,Gold,Mobile,43861,7453,413,23953.03,26985.28
190,Travel_High Value_Desktop,Gold,Desktop,36434,9682,404,14046.32,88090.32
191,Cashback_Prospecting_Desktop,Business,Mobile,39263,3345,860,17937.68,82683.53
192,Travel_Prospecting_Desktop,Platinum,Mobile,72963,9102,740,14597.69,47152.75
193,Gold_Remarketing_Mobile,Travel,Desktop,77833,6649,673,3068.48,28283.16
194,Cashback_High Value_Mobile,Travel,Tablet,16672,9580,207,23688.37,51210.42
195,Cashback_SMB_Mobile,Gold,Mobile,78378,6591,74,2263.63,75539.78
196,Gold_High Value_Mobile,Business,Mobile,50433,330,130,19116.82,2063.67
197,Gold_Prospecting_Mobile,Business,Desktop,44710,5172,348,24494.13,61644.05
198,Business_Students_Desktop,Gold,Mobile,42621,5543,381,8315.43,71302.62
199,Gold_SMB_Desktop,Travel,Mobile,75207,4252,643,4704.94,81862.76
200,Cashback_High Value_Desktop,Business,Tablet,7762,5482,339,14371.27,22444.85
201,Platinum_Prospecting_Desktop,Cashback,Desktop,42508,2201,169,19979.13,21140.34
202,Platinum_High Value_Mobile,Gold,Tablet,75370,4141,711,23762.14,22356.92
203,Gold_Students_Desktop,Travel,Tablet,59331,4254,960,17495.02,93211.76
204,Cashback_SMB_Mobile,Cashback,Tablet,97089,9734,505,8728.89,14956.68
205,Travel_SMB_Mobile,Platinum,Desktop,17329,5062,622,12611.48,76699.85
206,Travel_High Value_Mobile,Travel,Mobile,90151,7361,813,19149.41,98688.29
207,Gold_Students_Desktop,Cashback,Tablet,50515,3384,587,19804.34,94682.29
208,Business_SMB_Mobile,Platinum,Desktop,4687,3741,430,2323.71,41579.28
209,Travel_Prospecting_Mobile,Business,Mobile,56702,7996,791,15536.62,84095.78
210,Travel_Prospecting_Desktop,Travel,Desktop,81838,2800,55,24200.57,67343.95
211,Travel_Remarketing_Desktop,Travel,Tablet,54217,2960,726,19738.79,86977.86
212,Travel_Prospecting_Mobile,Business,Desktop,82749,8424,449,679.41,16955.22
213,Business_Students_Mobile,Travel,Tablet,80411,7433,315,6011.07,76728.75
214,Business_Prospecting_Mobile,Gold,Desktop,80114,2172,838,11402.72,59069.15
215,Platinum_Prospecting_Desktop,Cashback,Tablet,52464,7666,391,17803.6,54470.84
216,Gold_High Value_Mobile,Platinum,Mobile,98156,4016,410,14103.54,73161.1
217,Gold_Remarketing_Desktop,Platinum,Desktop,92461,5130,548,2394.53,28032.98
218,Gold_Students_Mobile,Cashback,Desktop,96814,147,903,18587.58,8384.56
219,Travel_Prospecting_Desktop,Gold,Mobile,48054,6295,319,21048.49,50709.97
220,Business_High Value_Mobile,Travel,Tablet,67126,2207,550,5541.07,30911.24
221,Travel_High Value_Desktop,Business,Tablet,47901,6716,278,2151.88,26384.14
222,Travel_SMB_Desktop,Business,Tablet,96624,9082,442,19878.46,99853.71
223,Gold_High Value_Mobile,Travel,Mobile,56110,5672,34,16190.94,20588.22
224,Cashback_Students_Mobile,Platinum,Desktop,90067,1977,353,20185.85,24322.09
225,Travel_Students_Mobile,Cashback,Desktop,26259,3961,109,14381.62,34054.38
226,Gold_Remarketing_Mobile,Cashback,Desktop,63156,6426,416,10999.18,50203.2
227,Travel_SMB_Desktop,Platinum,Mobile,77437,8920,291,24095.4,87041.99
228,Gold_SMB_Desktop,Cashback,Tablet,24349,4807,569,19609.01,18463.0
229,Gold_Prospecting_Desktop,Platinum,Tablet,17317,4169,685,10591.95,61980.53
230,Business_Remarketing_Mobile,Gold,Tablet,40345,6974,399,22734.19,37483.85
231,Gold_Remarketing_Desktop,Travel,Desktop,35922,3589,729,24840.73,79894.56
232,Business_Remarketing_Mobile,Platinum,Mobile,19457,4767,83,8051.79,60586.08
233,Platinum_High Value_Desktop,Gold,Tablet,64669,1788,432,22365.68,79714.23
234,Gold_Prospecting_Desktop,Platinum,Tablet,70544,2713,66,1612.24,85654.0
235,Travel_Prospecting_Mobile,Gold,Desktop,3686,7010,100,5751.55,91300.89
236,Travel_SMB_Mobile,Gold,Tablet,56673,8312,203,4442.35,99571.99
237,Platinum_Remarketing_Mobile,Gold,Desktop,25199,5702,403,9236.54,62267.56
238,Platinum_SMB_Desktop,Travel,Tablet,24575,9469,505,14284.25,64116.07
239,Business_Remarketing_Desktop,Platinum,Desktop,16335,6248,209,18139.51,14917.29
240,Travel_Prospecting_Desktop,Platinum,Desktop,9460,6205,18,22618.69,11404.41
241,Cashback_SMB_Desktop,Platinum,Tablet,68914,2820,854,4384.42,49274.97
242,Cashback_Students_Mobile,Gold,Desktop,57549,6876,253,14667.95,69675.14
243,Platinum_Prospecting_Desktop,Cashback,Tablet,46164,5143,593,14089.99,25571.53
244,Gold_High Value_Desktop,Cashback,Tablet,53411,2831,804,11732.61,33389.07
245,Business_SMB_Desktop,Platinum,Mobile,71797,4983,55,17517.27,70312.67
246,Gold_High Value_Mobile,Cashback,Tablet,86037,8603,840,13077.35,21954.46
247,Gold_Prospecting_Desktop,Cashback,Tablet,58586,9637,947,13979.69,52615.74
248,Cashback_Remarketing_Mobile,Cashback,Mobile,39638,2778,222,22631.61,54323.6
249,Travel_High Value_Desktop,Gold,Mobile,97396,8811,306,21576.67,91778.3
250,Business_Students_Mobile,Platinum,Desktop,71807,7094,427,14644.68,40825.09
251,Travel_Students_Desktop,Platinum,Mobile,28023,9984,870,4327.14,21844.16
252,Gold_Students_Desktop,Business,Mobile,87556,2731,167,23988.19,18215.52
253,Travel_Students_Desktop,Business,Desktop,3066,8306,693,15756.15,30022.3
254,Gold_Remarketing_Desktop,Cashback,Mobile,65080,3653,473,20283.13,28613.13
255,Cashback_Students_Desktop,Platinum,Tablet,29603,1442,266,1848.03,75269.54
256,Platinum_SMB_Mobile,Cashback,Mobile,56229,1603,950,22472.22,59778.5
257,Gold_Remarketing_Mobile,Gold,Desktop,70086,3270,568,17490.64,68560.3
258,Cashback_Prospecting_Mobile,Platinum,Tablet,53399,5587,742,17292.91,63399.24
259,Business_Remarketing_Desktop,Gold,Desktop,74948,9617,243,3197.75,48643.27
260,Gold_Remarketing_Mobile,Gold,Mobile,48391,2951,167,17965.15,92899.35
261,Business_Prospecting_Desktop,Platinum,Tablet,25144,6253,415,2377.61,81924.52
262,Platinum_SMB_Desktop,Cashback,Mobile,99886,5658,24,1867.74,21871.47
263,Cashback_Prospecting_Desktop,Business,Desktop,90829,6522,605,8471.02,42942.64
264,Business_Students_Desktop,Cashback,Desktop,21804,4111,687,1067.66,29502.14
265,Gold_Prospecting_Desktop,Business,Mobile,44959,4328,32,4410.82,74822.94
266,Platinum_Remarketing_Desktop,Travel,Desktop,24162,615,936,18290.11,35101.17
267,Cashback_Students_Mobile,Business,Mobile,51592,8705,706,20955.67,64381.26
268,Platinum_High Value_Mobile,Platinum,Desktop,95703,9555,218,4898.27,29929.14
269,Gold_Students_Desktop,Business,Desktop,32181,8011,44,20670.79,17993.06
270,Travel_Prospecting_Desktop,Travel,Desktop,19810,5104,715,12272.99,1909.72
271,Cashback_Remarketing_Desktop,Business,Desktop,59977,5337,248,23968.42,99467.65
272,Gold_Remarketing_Mobile,Cashback,Tablet,74916,7797,190,3913.07,22731.6
273,Gold_Prospecting_Desktop,Business,Tablet,57963,4611,40,1812.34,83392.23
274,Platinum_Prospecting_Mobile,Platinum,Mobile,79272,4612,419,21204.46,82386.29
275,Cashback_Students_Mobile,Platinum,Mobile,18025,7069,808,9368.65,24360.28
276,Cashback_Remarketing_Desktop,Gold,Mobile,97604,6881,209,11700.67,42147.88
277,Travel_Remarketing_Desktop,Cashback,Mobile,5793,5930,985,13038.95,83775.01
278,Travel_Prospecting_Desktop,Cashback,Desktop,70659,4081,917,20716.58,69290.99
279,Travel_Students_Desktop,Business,Desktop,7816,1739,190,2362.01,37617.93
280,Business_Students_Mobile,Business,Desktop,57598,1740,705,14002.54,94964.81
281,Cashback_High Value_Mobile,Platinum,Mobile,4667,1930,604,11048.92,34891.83
282,Gold_Prospecting_Mobile,Gold,Tablet,56158,7953,455,8836.87,21994.65
283,Gold_Remarketing_Mobile,Travel,Mobile,77847,8694,565,9029.21,15525.36
284,Business_Students_Mobile,Business,Tablet,66526,2123,67,23293.35,70430.54
285,Cashback_Prospecting_Mobile,Cashback,Tablet,86374,8072,470,7068.76,3871.49
286,Platinum_SMB_Desktop,Business,Desktop,67554,1126,970,11638.17,84738.24
287,Platinum_High Value_Mobile,Gold,Desktop,26132,3931,662,12573.66,31117.89
288,Gold_Students_Desktop,Cashback,Mobile,65415,746,326,18136.66,37610.89
289,Travel_Students_Mobile,Gold,Mobile,42774,426,589,13215.17,80381.3
290,Platinum_SMB_Mobile,Cashback,Tablet,59172,8291,188,15720.2,81603.55
291,Business_Students_Mobile,Business,Tablet,55449,4633,134,10271.36,40600.89
292,Gold_SMB_Mobile,Gold,Desktop,91658,4770,711,18106.11,55828.64
293,Business_Prospecting_Mobile,Platinum,Tablet,43894,6233,953,11913.37,68241.76
294,Gold_Prospecting_Mobile,Cashback,Tablet,4492,2979,360,5956.47,69172.05
295,Business_Prospecting_Desktop,Gold,Mobile,68130,8297,200,20514.79,53871.46
296,Cashback_SMB_Desktop,Gold,Mobile,2944,739,81,19253.58,84566.45
297,Travel_Prospecting_Desktop,Travel,Tablet,51707,8599,484,15873.51,84302.61
298,Business_Prospecting_Desktop,Travel,Tablet,9879,7901,337,13287.71,85031.39
299,Gold_SMB_Mobile,Business,Tablet,11325,1543,897,5608.15,27553.6
300,Cashback_Students_Desktop,Platinum,Mobile,95867,1032,828,21774.68,26433.65
301,Platinum_SMB_Desktop,Platinum,Mobile,69494,9635,929,2881.21,14842.38
302,Platinum_SMB_Desktop,Gold,Desktop,42533,5139,95,9888.0,82813.53
303,Travel_Remarketing_Desktop,Gold,Desktop,47093,3966,177,21387.74,7005.37
304,Business_High Value_Desktop,Gold,Desktop,38992,7888,678,15091.39,14395.24
305,Cashback_Students_Desktop,Cashback,Desktop,81049,2020,338,11246.19,92694.8
306,Business_Prospecting_Desktop,Business,Mobile,76984,531,666,19888.34,13386.22
307,Platinum_Remarketing_Mobile,Business,Desktop,96300,8120,10,24743.09,13006.98
308,Cashback_Students_Desktop,Travel,Mobile,67446,9663,885,5125.93,91001.82
309,Business_Students_Mobile,Gold,Mobile,12326,6292,105,1742.96,31700.27
310,Platinum_SMB_Desktop,Gold,Desktop,6290,3482,221,11843.21,88260.93
311,Gold_Prospecting_Mobile,Cashback,Mobile,59138,5258,10,7541.2,38388.0
312,Business_Remarketing_Mobile,Gold,Tablet,32101,9509,930,16835.41,37990.32
313,Platinum_Remarketing_Desktop,Gold,Desktop,48932,5669,690,12609.33,14383.07
314,Gold_SMB_Desktop,Business,Desktop,18717,7076,740,12725.57,91943.65
315,Cashback_High Value_Desktop,Gold,Tablet,82594,9931,672,9197.06,76407.01
316,Cashback_Students_Mobile,Cashback,Desktop,52947,373,283,5661.49,23339.29
317,Cashback_Prospecting_Mobile,Cashback,Mobile,92135,2828,765,5729.63,73051.97
318,Cashback_Prospecting_Desktop,Platinum,Mobile,46684,965,104,9980.77,11265.58
319,Gold_High Value_Desktop,Platinum,Mobile,99466,7998,677,17204.98,52857.28
320,Cashback_Remarketing_Mobile,Travel,Desktop,65080,3294,381,8760.15,26172.44
321,Travel_Prospecting_Desktop,Cashback,Tablet,48607,9482,499,8487.42,85207.86
322,Cashback_Prospecting_Mobile,Cashback,Tablet,61680,9774,94,10912.51,51601.79
323,Travel_Prospecting_Mobile,Business,Desktop,93010,1638,661,24776.11,92199.94
